"PBAT_BMP4","PBAT_BMP9","PBAT_BMP10","T3L1_BMP4","T3L1_BMP9","T3L1_BMP10"
NA,NA,NA,"Atp10d","Ccdc74a",NA
NA,NA,NA,"Dlk2","Enc1",NA
NA,NA,NA,"Rell1","Phlda3",NA
NA,NA,NA,"Ccdc187","Fhdc1",NA
NA,NA,NA,"Lmod1","Dlx1",NA
NA,NA,NA,"A630023P12Rik","Itga1",NA
NA,NA,NA,"Nog","Maff",NA
NA,NA,NA,"P2ry6","Sipa1l1",NA
NA,NA,NA,"Rasl11b","Id1",NA
NA,NA,NA,"Grem2","Lgr6",NA
NA,NA,NA,"Kif7","Snai1",NA
NA,NA,NA,"Fhip1a","Filip1l",NA
NA,NA,NA,"P4ha3","Mdga1",NA
NA,NA,NA,"Cacna1c","Gm8399",NA
NA,NA,NA,"Nav2","Krt13",NA
NA,NA,NA,"Tln2","Ackr3",NA
NA,NA,NA,"Junb","Zbtb7c",NA
NA,NA,NA,"Jam2","Gprin3",NA
NA,NA,NA,"Gper1","Gjb4",NA
NA,NA,NA,"Nanp","Cxxc5",NA
NA,NA,NA,"Krt15","Dlk2",NA
NA,NA,NA,"Fgfr3","Lxn",NA
NA,NA,NA,"Adam12","Rell1",NA
NA,NA,NA,"Usp17la","Ccdc187",NA
NA,NA,NA,"Rnd1","A630023P12Rik",NA
NA,NA,NA,"Tafa5","Bdnf",NA
NA,NA,NA,"Pdlim1","Nog",NA
NA,NA,NA,"Pcdh9","P2ry6",NA
NA,NA,NA,"Rras2","Rasl11b",NA
NA,NA,NA,"St3gal5","Grem2",NA
NA,NA,NA,"Col8a2","Kif7",NA
NA,NA,NA,"Hoxaas2","Fhip1a",NA
NA,NA,NA,"C1qtnf3","P4ha3",NA
NA,NA,NA,"Gm12715","Cacna1c",NA
NA,NA,NA,"Actg2","Slc6a7",NA
NA,NA,NA,"Unc5c","Nav2",NA
NA,NA,NA,"Serpinb2","Junb",NA
NA,NA,NA,"Actg1","Jam2",NA
NA,NA,NA,"Hacd1","Gper1",NA
NA,NA,NA,"Gng8","Gm9920",NA
NA,NA,NA,"Dhrs3","Krt16",NA
NA,NA,NA,"Serpina3c","Nanp",NA
NA,NA,NA,"Garre1","Skida1",NA
NA,NA,NA,"Myl9","Krt15",NA
NA,NA,NA,"Trabd2b","Fgfr3",NA
NA,NA,NA,"Hrct1","Rnd1",NA
NA,NA,NA,"Map3k5","Tafa5",NA
NA,NA,NA,"Ppp1r12b","Pdlim1",NA
NA,NA,NA,"Grem1","Arntl",NA
NA,NA,NA,"Dact3","Rras2",NA
NA,NA,NA,"Serpina3i","St3gal5",NA
NA,NA,NA,"Hoxa3","Col8a2",NA
NA,NA,NA,"Eef1akmt3","Tcim",NA
NA,NA,NA,"Gm11451","Hoxaas2",NA
NA,NA,NA,"Zfp703","Tmem154",NA
NA,NA,NA,"Gm12764","Hmga2",NA
NA,NA,NA,"Hotair","C1qtnf3",NA
NA,NA,NA,"A930001C03Rik","Gm12715",NA
NA,NA,NA,"Gm16091","Actg2",NA
NA,NA,NA,"Hotairm1","Unc5c",NA
NA,NA,NA,"Pakap","Actg1",NA
NA,NA,NA,"D030025P21Rik","Hacd1",NA
NA,NA,NA,"Gm20544","Gng8",NA
NA,NA,NA,"Gm17501","Garre1",NA
NA,NA,NA,"Gm26532","Myl9",NA
NA,NA,NA,"Gm37352","Gm10254",NA
NA,NA,NA,"Gm5886","Trabd2b",NA
NA,NA,NA,"Gm44837","Map3k5",NA
NA,NA,NA,"2310043P16Rik","Ppp1r12b",NA
NA,NA,NA,"Gm45221","Grem1",NA
NA,NA,NA,"Gm45338","Fjx1",NA
NA,NA,NA,"Gm45714","Zbtb2",NA
NA,NA,NA,"Cdhr17","Gvin2",NA
NA,NA,NA,"Gm5608","Dact3",NA
NA,NA,NA,"Gm19385","Samd1",NA
NA,NA,NA,"Gm17746","Serpina3i",NA
NA,NA,NA,"Gm47826","Utp14b",NA
NA,NA,NA,"Gm5144","Hoxa3",NA
NA,NA,NA,"Gm18787","Eef1akmt3",NA
NA,NA,NA,"Gm536","1700060J05Rik",NA
NA,NA,NA,NA,"Gm12758",NA
