tf,confidence,target,mor,likelihood
Adnp,D,Ncln,1,1
Adnp,D,Ncor2,1,1
Adnp,D,Ndst1,1,1
Adnp,D,Nek6,1,1
Adnp,D,Nfat5,1,1
Adnp,D,Nfatc2,1,1
Adnp,D,Nfia,1,1
Adnp,D,Nfic,1,1
Adnp,D,Nostrin,1,1
Adnp,D,Nprl3,1,1
Adnp,D,Nup210,1,1
Adnp,D,Oas3,1,1
Adnp,D,Pacsin1,1,1
Adnp,D,Padi4,1,1
Adnp,D,Pcbp1,1,1
Adnp,D,Pdgfb,1,1
Adnp,D,Pecam1,1,1
Adnp,D,Phf20,1,1
Adnp,D,Pkhd1l1,1,1
Adnp,D,Pkn1,1,1
Adnp,D,Plcg2,1,1
Adnp,D,Pld1,1,1
Adnp,D,Plin3,1,1
Adnp,D,Plpp7,1,1
Adnp,D,Plxna2,1,1
Adnp,D,Plxnd1,1,1
Adnp,D,Pom121l2,1,1
Adnp,D,Ppp1r16b,1,1
Adnp,D,Prcp,1,1
Adnp,D,Prex1,1,1
Adnp,D,Prf1,1,1
Adnp,D,Prkar2b,1,1
Adnp,D,Prkcb,1,1
Adnp,D,Prr5,1,1
Adnp,D,Prss16,1,1
Adnp,D,Prx,1,1
Adnp,D,Ptp4a2,1,1
Adnp,D,Ptp4a3,1,1
Adnp,D,Ptprj,1,1
Adnp,D,Ptprs,1,1
Adnp,D,R3hdm2,1,1
Adnp,D,R3hdm4,1,1
Adnp,D,Ralgps1,1,1
Adnp,D,Ranbp9,1,1
Adnp,D,Rap1gap,1,1
Adnp,D,Rapgef5,1,1
Adnp,D,Rasal1,1,1
Adnp,D,Rbm19,1,1
Adnp,D,Relb,1,1
Adnp,D,Rfx1,1,1
Adnp,D,Rhobtb1,1,1
Adnp,D,Rhoh,1,1
Adnp,D,Rictor,1,1
Adnp,D,Rnf216,1,1
Adnp,D,Rp1,1,1
Adnp,D,Rph3a,1,1
Adnp,D,Rragc,1,1
Adnp,D,Rtn4,1,1
Adnp,D,Runx1,1,1
Adnp,D,Samsn1,1,1
Adnp,D,Scarb1,1,1
Adnp,D,Scn1b,1,1
Adnp,D,Sdc3,1,1
Adnp,D,Sds,1,1
Adnp,D,Sdsl,1,1
Adnp,D,Sec14l1,1,1
Adnp,D,Selplg,1,1
Adnp,D,Sema6b,1,1
Adnp,D,Sep-09,1,1
Adnp,D,Serinc5,1,1
Adnp,D,Serpinh1,1,1
Adnp,D,Sgsm1,1,1
Adnp,D,Sh2b1,1,1
Adnp,D,Sipa1l3,1,1
Adnp,D,Slc13a3,1,1
Adnp,D,Slc1a7,1,1
Adnp,D,Slc22a23,1,1
Adnp,D,Slc25a25,1,1
Adnp,D,Slc29a3,1,1
Adnp,D,Slc44a2,1,1
Adnp,D,Slc4a1,1,1
Adnp,D,Slc6a6,1,1
